讓分,不讓分,大小分,單雙
0,,0,0
1,,0,0
0,0,1,0
1,1,1,0
1,1,0,1
0,0,0,1
0,0,1,1
1,1,1,1
1,,1,1
0,,1,1
1,,0,1
0,,0,1
0,0,1,0
1,1,1,0
1,,1,1
0,,1,1
1,1,1,1
0,0,1,1
0,0,1,0
1,1,1,0
1,1,1,0
0,0,1,0
1,1,0,1
0,0,0,1
0,,1,1
1,,1,1
1,1,1,0
0,0,1,0
1,1,0,1
0,0,0,1
0,0,1,0
1,1,1,0
1,1,1,0
0,0,1,0
0,0,0,1
1,1,0,1
1,1,1,0
0,0,1,0
0,0,0,0
1,1,0,0
0,,1,0
1,,1,0
1,1,1,0
0,0,1,0
1,1,1,1
0,0,1,1
1,1,1,0
0,0,1,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,1,1,1
0,0,1,1
0,,1,1
1,,1,1
0,,0,1
1,,0,1
0,,0,1
1,,0,1
1,1,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,,1,1
1,,1,1
0,0,1,1
1,1,1,1
1,,0,1
0,,0,1
0,0,1,1
1,1,1,1
0,0,0,0
1,1,0,0
1,1,1,1
0,0,1,1
1,,1,0
0,,1,0
1,0,0,0
0,1,0,0
1,1,0,1
0,0,0,1
0,0,1,0
1,1,1,0
1,1,1,0
0,0,1,0
1,,0,1
0,,0,1
1,1,1,0
0,0,1,0
1,1,0,0
0,0,0,0
0,,0,1
1,,0,1
1,1,0,1
0,0,0,1
0,,1,0
1,,1,0
1,0,0,0
0,1,0,0
0,,0,1
1,,0,1
0,0,1,1
1,1,1,1
1,0,1,0
0,1,1,0
1,0,1,0
0,1,1,0
0,,0,1
1,,0,1
0,0,0,1
1,1,0,1
0,,1,0
1,,1,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,1
1,1,0,1
1,,1,0
0,,1,0
0,0,0,0
1,1,0,0
1,1,1,0
0,0,1,0
0,,0,0
1,,0,0
1,1,0,0
0,0,0,0
0,0,0,1
1,1,0,1
1,,1,1
0,,1,1
0,0,1,1
1,1,1,1
0,1,0,0
1,0,0,0
0,,0,1
1,,0,1
1,,1,0
0,,1,0
0,,0,0
1,,0,0
0,0,1,0
1,1,1,0
1,,1,0
0,,1,0
1,1,1,1
0,0,1,1
0,0,0,1
1,1,0,1
0,0,1,0
1,1,1,0
0,0,1,0
1,1,1,0
1,1,1,0
0,0,1,0
1,,1,0
0,,1,0
1,1,1,1
0,0,1,1
0,,1,0
1,,1,0
1,1,1,1
0,0,1,1
1,,0,1
0,,0,1
1,,0,1
0,,0,1
1,0,0,1
0,1,0,1
0,0,0,1
1,1,0,1
0,0,1,1
1,1,1,1
0,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,1,0,0
1,0,0,0
1,1,1,1
0,0,1,1
0,0,1,0
1,1,1,0
0,0,1,0
1,1,1,0
0,0,0,0
1,1,0,0
1,0,1,1
0,1,1,1
1,,0,1
0,,0,1
0,,0,1
1,,0,1
0,0,0,1
1,1,0,1
0,0,1,0
1,1,1,0
0,0,1,0
1,1,1,0
0,0,1,0
1,1,1,0
0,0,0,0
1,1,0,0
1,1,1,1
0,0,1,1
0,0,0,1
1,1,0,1
1,1,0,1
0,0,0,1
1,1,0,0
0,0,0,0
1,1,0,1
0,0,0,1
1,1,1,0
0,0,1,0
1,1,1,1
0,0,1,1
0,0,0,1
1,1,0,1
1,1,0,0
0,0,0,0
0,1,1,1
1,0,1,1
0,0,0,0
1,1,0,0
1,0,0,1
0,1,0,1
1,1,0,0
0,0,0,0
0,0,1,1
1,1,1,1
1,1,0,0
0,0,0,0
0,0,1,1
1,1,1,1
1,1,0,0
0,0,0,0
0,0,1,1
1,1,1,1
1,1,1,0
0,0,1,0
1,1,0,1
0,0,0,1
0,0,0,1
1,1,0,1
1,0,0,1
0,1,0,1
1,0,0,0
0,1,0,0
0,0,0,1
1,1,0,1
0,,0,0
1,,0,0
1,0,0,0
0,1,0,0
1,1,1,1
0,0,1,1
1,1,1,0
0,0,1,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
